编号,名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,备注
税金=(元器件小计+辅材费)*2.5%,,,套,1,,,154,154,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
壳体（宽*高*深）：XL 600*1800*400,,,台,1,,,850,850,上海天灵,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
编号：,J2ALw-1,,,,,,,,1#数据中心,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
序号,产品名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
合计,,,台,1,,,6484,6484,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
小计A：A=B+C+D+E+F+G,,,台,1,,,,6484,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
1,塑壳断路器,NSX100N TMD 50 3P3D F MX+OF,只,1,1512.32,0.54,817,817,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
2,火灾监控器,FS8201-100,只,1,150,1,150,150,赋安,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
3,多功能表,PMAC770E,只,1,803,1,803,803,派诺,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
4,电流互感器,BH-0.66 75/5A,只,3,39,0.6,23,69,浙江鸿坤,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
5,微型断路器,iC65N-S C10A/1P,只,1,43.89,0.45,20,20,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
6,微型断路器,iC65N-S D16A/3P,只,2,225.88,0.45,102,204,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
7,微型断路器,iC65N-S 2P C16A+ELE 30mA A,只,7,283.11,0.45,127,889,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
8,微型断路器,iC65N-S 2P C20A+ELE 30mA A,只,1,283.11,0.45,127,127,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
9,微型断路器,iC65N-S 4P C16A+ELE 30mA A,只,2,603.29,0.45,271,542,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
10,微型断路器,iC65N-S 4P D16A+ELE 300mA A,只,1,727.79,0.45,328,328,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
11,后备,LMSCB-80KA/4P，T2,只,1,86,1,86,86,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
12,浪涌保护器,"LMRD-B80/4P,T2,in40KA（8/20us）通讯接口",只,1,420,1,420,420,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
13,交流接触器,LC1D09M7C,只,1,81.98,0.62,51,51,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
14,热继电器,LRD06C 1-1.6A,只,1,188.99,0.62,117,117,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
15,熔断器,"RT18-10,16,20,32",只,1,5,1,5,5,国产,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
16,转换开关,LW39A-16YH2/3,只,1,53,1,53,53,国产,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
17,指示灯,AD16-22D/S,只,2,5,1,5,10,国产,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
18,按钮,LA39B-11,只,2,8,1,8,16,国产,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
元件小计：,,,,,,,,4707,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
辅材费=（元件小计）*8%,,,套,1,,,377,377,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
人工费=(元器件小计+辅材费)*8%,,,套,1,,,407,407,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
管理费及利润=(元器件小计+辅材费)*7.5%,,,套,1,,,381,381,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
税金=(元器件小计+辅材费)*2.5%,,,套,1,,,127,127,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
壳体（宽*高*深）：XL 700*1200*200,,,台,1,,,485,485,上海天灵,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
编号：,J1ALEz-BYZ,,,,,,,,1#数据中心,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
序号,产品名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
合计,,,台,1,,,13402,13402,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
小计A：A=B+C+D+E+F+G,,,台,1,,,,13402,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
1,塑壳断路器,NSX100N MA 100 3P3D F,只,2,856.21,0.54,462,924,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
2,双电源切换,"D03ATSB30150JMX0,97C",只,1,5667,1,5667,5667,ASCO,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
3,多功能表,PMAC770E,只,1,803,1,803,803,派诺,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
4,电流互感器,BH-0.66 100/5A,只,3,39,0.6,23,69,浙江鸿坤,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
5,消防电源,FS2623AVC 带互感器,只,1,324,1,324,324,赋安,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
6,消防电源,FS2613AVC,只,7,226,1,226,1582,赋安,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
7,微型断路器,iC65N-S C25A/3P,只,4,185.2,0.45,83,332,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
8,微型断路器,iC65N-S C32A/3P,只,2,185.2,0.45,83,166,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
9,微型断路器,iC65N-S C63A/3P,只,1,264.65,0.45,119,119,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
10,后备,LMSCB-80KA/4P，T2,只,1,86,1,86,86,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
11,浪涌保护器,"LMRD-B80/4P,T2,in40KA（8/20us）",只,1,72,1,72,72,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
元件小计：,,,,,,,,10144,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
辅材费=（元件小计）*8%,,,套,1,,,812,812,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
人工费=(元器件小计+辅材费)*8%,,,套,1,,,876,876,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
管理费及利润=(元器件小计+辅材费)*7.5%,,,套,1,,,822,822,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
税金=(元器件小计+辅材费)*2.5%,,,套,1,,,274,274,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
壳体（宽*高*深）：XL 700*1100*250,,,台,1,,,474,474,上海天灵,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
